name,symptoms
Shingles,tingling
Shingles,headache
Shingles,nausea
Shingles,fever
Shingles,chills
Shingles,muscle aches
Shingles,rash
Shingles,stabbing pain
Shingles,itchy skin
Lupus erythematosus,fever
Lupus erythematosus,joint pain
Lupus erythematosus,swallon joints
Lupus erythematosus,rash
Lupus erythematosus,butterfly-shaped rash
Lupus erythematosus,fulid accumulation
Lupus erythematosus,chest tightness
Lupus erythematosus,chest pain
Lupus erythematosus,itchy skin
Hand eczema,itchy skin
Hand eczema,blisters on edges of fingers
Hand eczema,skin flaking
