name,symptoms
Hyperthyroidism,sweating
Hyperthyroidism,heart racing
Hyperthyroidism,anxiety
Hyperthyroidism,trouble racing
Hyperthyroidism,lose hair
Hyperthyroidism,muscle weakness
Hyperthyroidism,weight loss
Hyperthyroidism,vomiting
Hyperthyroidism,heat intolerance
Anemia,pale skin
Anemia,dizziness
Anemia,leg cramp
Anemia,insomnia
Anemia,fatigue
Anemia,heart racing
Anemia,difficulity breathing
Anemia,headache
Anemia,koilonychia
Anemia,mouth sore
Anemia,tingling
Anemia,dementia
Diabetes,fatigue
Diabetes,hunger
Diabetes,increased thrist
Diabetes,frequent urination
Diabetes,itchy skin
Diabetes,blurred vision
Diabetes,pain in legs
Diabetes,tingling
Diabetes,slow healing
Diabetes,patch of dark skin
Gout,joint pain
Gout,inflammation
Gout,redness
Gout,stiff joint
Osteoporosis,weak and brittle fingernails
Osteoporosis,weak grip strength
Osteoporosis,receding gum
Osteoporosis,height loss
Osteoporosis,easily fracture
Osteoporosis,back pain
Osteoporosis,neck pain
Osteoporosis,stooped back
