name,symptoms
Pharyngitis,sneezing
Pharyngitis,runny nose
Pharyngitis,headache
Pharyngitis,cough
Pharyngitis,muscle ache
Pharyngitis,fever
Rhinitis,sneezing
Rhinitis,runny nose
Rhinitis,sore throat
Rhinitis,itchy eyes
Rhinitis,dark eye shades
Parotitis,swelling
Parotitis,difficulity breathing
Parotitis,fever
Gastroesophageal reflux,bloating
Gastroesophageal reflux,bloody vomitting
Gastroesophageal reflux,burping
Gastroesophageal reflux,dysphagia
Gastroesophageal reflux,nausea
Gastroesophageal reflux,weight loss
Gastroesophageal reflux,dry cough
Gastroesophageal reflux,sore throat
Sinusitis,discolored nasel discharge
Sinusitis,stuff nose
Sinusitis,frontal headache
Sinusitis,pain in teeth
Sinusitis,cough
Sinusitis,fever
Sinusitis,fatigue
Sinusitis,bad breath
Flu type A,fever
Flu type A,cough
Flu type A,sore throat
Flu type A,runny nose
Flu type A,muscle ache
Flu type A,fatigue
Flu type A,vomitting
Flu type A,diarrhea
Flu type B,dry cough
Flu type B,runny nose
Flu type B,stuff nose
Flu type B,sore throat
Flu type B,muscle ache
Flu type B,headache
