name,symptoms
Asthma,Shortness of breath
Asthma,Chest tightness
Asthma,Trouble sleeping
Asthma,wheezing sound when exhaling
Asthma,Cough
Bronchitis,Cough
Bronchitis,Production of sputum
Bronchitis,Fatigue
Bronchitis,Shortness of breath
Bronchitis,Slight fever and chills
Bronchitis,Chest discomfort
Bronchiectasis,Cough
Bronchiectasis,Coughing up blood
Bronchiectasis,Abnormal sounds
Bronchiectasis,Shortness of breath
Bronchiectasis,Chest pain
Bronchiectasis,Coughing up large amounts of thick mucus
Bronchiectasis,Weight loss
Bronchiectasis,Fatigue
Bronchiectasis,Frequent respiratory infections
Pneumothorax,shortness of breath
Pneumothorax,chest pain
Pneumothorax,sharp pain when inhaling
Pneumothorax,pressure in the chest
Pneumothorax,blue discoloration of the skin or lips
Pneumothorax,increased heart rate
Pneumothorax,rapid breathing
Pneumothorax,confusion or dizziness
Pneumothorax,loss of consciousness
Tuberculosis,Coughing up blood
Tuberculosis,Chest pain
Tuberculosis,weight loss
Tuberculosis,Fatigue
Tuberculosis,Fever
Tuberculosis,Night sweats
Tuberculosis,Chills
Tuberculosis,Loss of appetite
