name,symptoms
Urethritis,burning sensation urinating
Urethritis,blood urinating
Urethritis,difficulity urinating
Urethritis,pain during sexual intercourse
Kidney stone,burning sensation urinating
Kidney stone,blood urinating
Kidney stone,smelly urine
Kidney stone,nausea
Kidney stone,vomiting
Kidney stone,fever
Kidney stone,chills
Kidney stone,back pain
Kidney stone,abdominal pain
Kidney stone,difficulity urinating
Hernia,swelling
Hernia,dysphagia
Hernia,cough
Hernia,constipation
Hernia,vomiting
Hernia,tingling
Prostate enlargement,difficulity urinating
Prostate enlargement,frequent urinating
Prostate enlargement,blood urinating
Prostate enlargement,pain during sexual intercourse
Cystitis,frequent urinating
Cystitis,burning sensation urinating
Cystitis,blood urinating
Cystitis,fever
